,"Emissions quantity, tonnes","Total population, thousands",Population density,GDP per capita,WMG,clusters
2158,2.587350192558085,0.8792303732068341,-0.19461718275834508,-0.4177834259872514,1.9876695059814977,2
2159,-0.4703337641905541,-0.5088038154399116,0.03804562031464439,-0.6571943276450462,-1.1287628349379493,0
2160,-0.4524228744827328,-0.5088038154399116,0.03804562031464439,-0.6571943276450462,-1.1287628349379493,0
2161,-0.4152743624961404,-0.5088038154399116,0.03804562031464439,-0.6571943276450462,-1.1287628349379493,0
2162,-0.4706536287385503,-0.5147890226828972,-0.1343543544029175,-0.5636342368937644,-1.1287628349379493,0
2163,-0.46137908182662674,-0.5147890226828972,-0.1343543544029175,-0.5636342368937644,-1.1287628349379493,0
2164,-0.4421429845278223,-0.5147890226828972,-0.1343543544029175,-0.5636342368937644,-1.1287628349379493,0
2165,-0.4602841462106016,-0.38814428538648477,-0.1610258291911359,-0.11525466341784978,0.8906853219778522,3
2166,-0.1710335710440618,-0.38814428538648477,-0.1610258291911359,-0.11525466341784978,0.8906853219778522,3
2167,0.42889354781987254,-0.38814428538648477,-0.1610258291911359,-0.11525466341784978,0.8906853219778522,3
2168,-0.4452630935395041,-0.21302779929124582,-0.15709704094774707,-0.2866439318932129,-0.32160685863981253,0
2169,0.249555903746668,-0.21302779929124582,-0.15709704094774707,-0.2866439318932129,-0.32160685863981253,0
2170,1.690661972192062,-0.21302779929124582,-0.15709704094774707,-0.2866439318932129,-0.32160685863981253,2
2174,-0.46836654003362865,-0.4964962061796878,-0.14058915723101376,0.7189206968300861,1.286472229274622,3
2175,-0.39734059808881994,-0.4964962061796878,-0.14058915723101376,0.7189206968300861,1.286472229274622,3
2176,-0.2500275333144019,-0.4964962061796878,-0.14058915723101376,0.7189206968300861,1.286472229274622,3
2180,1.4878396366330806,1.805420119385456,-0.07602258388407382,1.5400355150893896,1.9222244268221895,1
2181,5.405513170851299,1.805420119385456,-0.07602258388407382,1.5400355150893896,1.9222244268221895,2
2182,-0.4684046645327939,-0.5008516386804519,-0.1935956855815649,-0.587230606434565,-1.1287628349379493,0
2183,-0.39840808406544614,-0.5008516386804519,-0.1935956855815649,-0.587230606434565,-1.1287628349379493,0
2184,-0.2532299912442806,-0.5008516386804519,-0.1935956855815649,-0.587230606434565,-1.1287628349379493,0
2185,-0.4708486355517804,-0.529007402330553,-0.16368233352572065,-0.3147071038985273,0.8158909457957856,3
2186,-0.46683927259706987,-0.529007402330553,-0.16368233352572065,-0.3147071038985273,0.8158909457957856,3
2187,-0.45852355683915164,-0.529007402330553,-0.16368233352572065,-0.3147071038985273,0.8158909457957856,3
2188,-0.4664221905762023,-0.3681654950120119,-0.1383112796942895,2.172233720420184,1.9814366412996587,1
2189,-0.34289881328088284,-0.3681654950120119,-0.1383112796942895,2.172233720420184,1.9814366412996587,1
2190,-0.08670217889059059,-0.3681654950120119,-0.1383112796942895,2.172233720420184,1.9814366412996587,1
2191,-0.4479318084810696,-0.22525110985790645,-0.08415908415085854,-0.3335453577706069,-0.9511261915055408,0
2192,0.17483188538283276,-0.22525110985790645,-0.08415908415085854,-0.3335453577706069,-0.9511261915055408,0
2193,1.466489917100556,-0.22525110985790645,-0.08415908415085854,-0.3335453577706069,-0.9511261915055408,0
2194,-0.3753046375713216,0.6689894314602715,-0.21096908936125863,-0.5351340950821388,1.7258891893442638,3
2195,2.2083926708557775,0.6689894314602715,-0.21096908936125863,-0.5351340950821388,1.7258891893442638,2
2196,-0.44774118598524354,-0.04367172392282393,-0.1792213241119031,-0.42773662713100474,0.5416448997948743,3
2197,0.18016931526596383,-0.04367172392282393,-0.1792213241119031,-0.42773662713100474,0.5416448997948743,3
2198,1.4825022067499494,-0.04367172392282393,-0.1792213241119031,-0.42773662713100474,0.5416448997948743,2
2199,-0.41686034166141367,2.436817334173649,-0.15703709680204378,-0.5845116831952958,-0.6207843633680794,4
2200,1.0448329563332002,2.436817334173649,-0.15703709680204378,-0.5845116831952958,-0.6207843633680794,4
2201,4.0764931299516585,2.436817334173649,-0.15703709680204378,-0.5845116831952958,-0.6207843633680794,2
2202,-0.46947596295933663,-0.43271019471688416,-0.20427063691639627,-0.7028819485049093,-1.1287628349379493,0
2203,-0.42840444000864286,-0.43271019471688416,-0.20427063691639627,-0.7028819485049093,-1.1287628349379493,0
2207,-0.37835459750453937,0.793358104030478,-0.16454846526363726,0.7059572592428561,1.6448619484803586,3
2208,2.12299379272568,0.793358104030478,-0.16454846526363726,0.7059572592428561,1.6448619484803586,2
2209,-0.4662887548291241,-0.493714349292103,-0.20326198491369532,0.4067785985218398,1.1898628267061193,3
2210,-0.3391626123626911,-0.493714349292103,-0.20326198491369532,0.4067785985218398,1.1898628267061193,3
2211,-0.0754935761360153,-0.493714349292103,-0.20326198491369532,0.4067785985218398,1.1898628267061193,3
2212,-0.4368757037231552,-0.375864775690782,-0.21076723662572722,1.6307310259992984,1.9159915621403505,1
2213,0.4844028186044359,-0.375864775690782,-0.21076723662572722,1.6307310259992984,1.9159915621403505,1
2214,2.3952027167653656,-0.375864775690782,-0.21076723662572722,1.6307310259992984,1.9159915621403505,2
2215,-0.4687668472748635,-0.5052070711812161,-0.1911862979292671,-0.44060296031683227,0.1178101014298295,3
2216,-0.40854920084339524,-0.5052070711812161,-0.1911862979292671,-0.44060296031683227,0.1178101014298295,3
2217,-0.28365334157812777,-0.5052070711812161,-0.1911862979292671,-0.44060296031683227,0.1178101014298295,3
